employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Horton Hospital,"Feb 27, 2019",50,Non-WARN,,,2 - Workforce Investment Area II,,1983,https://www.kansasworks.com/search/warn_lookups/1983
Dressbarn,"May 22, 2019",10,Non-WARN,,,4 - Workforce Investment Area IV,,1984,https://www.kansasworks.com/search/warn_lookups/1984
Bombardier Learjet,"Jun 20, 2019",130,Non-WARN,,,4 - Workforce Investment Area IV,,1985,https://www.kansasworks.com/search/warn_lookups/1985
Tad's Locker Room,"May 10, 2019",3,Non-WARN,,,4 - Workforce Investment Area IV,,1986,https://www.kansasworks.com/search/warn_lookups/1986
Fort Scott Lumber Inc.,"Jul 08, 2019",5,Non-WARN,,,5 - Workforce Investment Area V,,1987,https://www.kansasworks.com/search/warn_lookups/1987
Charming Charlie,"Jul 12, 2019",8,Non-WARN,,,4 - Workforce Investment Area IV,,1988,https://www.kansasworks.com/search/warn_lookups/1988
Leisure Time Products,"Jul 16, 2019",30,Non-WARN,,,5 - Workforce Investment Area V,,1989,https://www.kansasworks.com/search/warn_lookups/1989
Gabel's Family Restaurant,"Jul 19, 2019",7,Non-WARN,,,4 - Workforce Investment Area IV,,1990,https://www.kansasworks.com/search/warn_lookups/1990
Waddell & Reed,"Jul 30, 2019",158,WARN,,,3 - Workforce Investment Area III,,1991,https://www.kansasworks.com/search/warn_lookups/1991
Ace Forms,"Aug 12, 2019",20,Non-WARN,,,5 - Workforce Investment Area V,,1992,https://www.kansasworks.com/search/warn_lookups/1992
Energy Consultant Group,"Aug 14, 2019",20,Non-WARN,,,5 - Workforce Investment Area V,,1993,https://www.kansasworks.com/search/warn_lookups/1993
Nestle,"Aug 16, 2019",85,WARN,,,3 - Workforce Investment Area III,,1994,https://www.kansasworks.com/search/warn_lookups/1994
Fuller Industries,"Nov 22, 2019",18,Non-WARN,,,1 - Workforce Investment Area I,,2015,https://www.kansasworks.com/search/warn_lookups/2015
Mercy Clinic Family Medicine,"Aug 12, 2019",4,Non-WARN,,,5 - Workforce Investment Area V,,1995,https://www.kansasworks.com/search/warn_lookups/1995
Honeywell Aerospace,"Aug 02, 2019",84,WARN,,,4 - Workforce Investment Area IV,,1996,https://www.kansasworks.com/search/warn_lookups/1996
Excel Industries,"Aug 16, 2019",71,Non-WARN,,,1 - Workforce Investment Area I,,1997,https://www.kansasworks.com/search/warn_lookups/1997
Fresenius Medical Care of Fort Scott,"Aug 30, 2019",5,Non-WARN,,,5 - Workforce Investment Area V,,1998,https://www.kansasworks.com/search/warn_lookups/1998
Best Buy,"Sep 03, 2019",95,Non-WARN,,,4 - Workforce Investment Area IV,,1999,https://www.kansasworks.com/search/warn_lookups/1999
John Deere Coffeyville Works,"Sep 06, 2019",50,Non-WARN,,,5 - Workforce Investment Area V,,2000,https://www.kansasworks.com/search/warn_lookups/2000
High Gear Cyclery & Fitness,"Sep 11, 2019",4,Non-WARN,,,5 - Workforce Investment Area V,,2001,https://www.kansasworks.com/search/warn_lookups/2001
"Hy-Vee, Inc.","Sep 11, 2019",221,WARN,,,2 - Workforce Investment Area II,,2002,https://www.kansasworks.com/search/warn_lookups/2002
Salina Concrete,"Sep 09, 2019",3,Non-WARN,,,1 - Workforce Investment Area I,,2003,https://www.kansasworks.com/search/warn_lookups/2003
JLL,"Sep 18, 2019",66,WARN,,,3 - Workforce Investment Area III,,2004,https://www.kansasworks.com/search/warn_lookups/2004
Saint Luke's Cushiing Hospital,"Sep 25, 2019",145,WARN,,,3 - Workforce Investment Area III,,2005,https://www.kansasworks.com/search/warn_lookups/2005
"Lippert Componenets, Inc.","Oct 09, 2019",101,WARN,Newton,67114,1 - Workforce Investment Area I,"600 W. 24th St.; Newton, Kansas 67114",2006,https://www.kansasworks.com/search/warn_lookups/2006
Owens Corning,"Oct 21, 2019",150,Non-WARN,,,3 - Workforce Investment Area III,,2007,https://www.kansasworks.com/search/warn_lookups/2007
Flint Hills Community Health Center,"Oct 01, 2019",1,Non-WARN,,,5 - Workforce Investment Area V,,2008,https://www.kansasworks.com/search/warn_lookups/2008
"Cowley Distributing, Inc","Oct 29, 2019",66,WARN,,,3 - Workforce Investment Area III,,2009,https://www.kansasworks.com/search/warn_lookups/2009
"Cowley Distributing, Inc.","Oct 29, 2019",19,WARN,,,4 - Workforce Investment Area IV,,2010,https://www.kansasworks.com/search/warn_lookups/2010
Susan B Allen,"Oct 30, 2019",19,Non-WARN,,,4 - Workforce Investment Area IV,,2011,https://www.kansasworks.com/search/warn_lookups/2011
Cerner,"Nov 12, 2019",10,WARN,,,3 - Workforce Investment Area III,,2012,https://www.kansasworks.com/search/warn_lookups/2012
Reed Sales,"Nov 19, 2019",12,Non-WARN,,,5 - Workforce Investment Area V,,2013,https://www.kansasworks.com/search/warn_lookups/2013
"Home Credit US, LLC","Dec 02, 2019",99,WARN,,,3 - Workforce Investment Area III,,2014,https://www.kansasworks.com/search/warn_lookups/2014
Ellen Plumb Bookstore,"Dec 19, 2019",4,Non-WARN,,,5 - Workforce Investment Area V,,2017,https://www.kansasworks.com/search/warn_lookups/2017
Cato Fashions,"Dec 02, 2019",5,Non-WARN,,,1 - Workforce Investment Area I,,2018,https://www.kansasworks.com/search/warn_lookups/2018
The Atlas Group,"Dec 27, 2019",110,Non-WARN,,,4 - Workforce Investment Area IV,,2019,https://www.kansasworks.com/search/warn_lookups/2019
Cox Machine,"Dec 27, 2019",54,Non-WARN,,,4 - Workforce Investment Area IV,,2020,https://www.kansasworks.com/search/warn_lookups/2020
Save A Lot,"Dec 18, 2018",12,Non-WARN,,,5 - Workforce Investment Area V,,1927,https://www.kansasworks.com/search/warn_lookups/1927
Sears Hometown,"Dec 07, 2018",6,Non-WARN,,,5 - Workforce Investment Area V,,1925,https://www.kansasworks.com/search/warn_lookups/1925
Long John Silver's,"Oct 26, 2018",10,Non-WARN,,,5 - Workforce Investment Area V,,1917,https://www.kansasworks.com/search/warn_lookups/1917
Dr. Clay Sligh,"Dec 03, 2018",4,Non-WARN,,,5 - Workforce Investment Area V,,1926,https://www.kansasworks.com/search/warn_lookups/1926
"Teva Pharmaceuticals USA, Inc.","Jan 25, 2018",57,WARN,,,3 - Workforce Investment Area III,,1890,https://www.kansasworks.com/search/warn_lookups/1890
Payless Shoesource,"Jan 26, 2018",48,WARN,,,2 - Workforce Investment Area II,,1891,https://www.kansasworks.com/search/warn_lookups/1891
Siemens,"Jan 30, 2018",7,Non-WARN,,,1 - Workforce Investment Area I,,1893,https://www.kansasworks.com/search/warn_lookups/1893
Sprint,"Mar 09, 2018",120,WARN,,,3 - Workforce Investment Area III,,1894,https://www.kansasworks.com/search/warn_lookups/1894
Kmart,"Jan 04, 2018",60,WARN,,,4 - Workforce Investment Area IV,,1895,https://www.kansasworks.com/search/warn_lookups/1895
Babies R Us,"Jan 23, 2018",25,Non-WARN,,,4 - Workforce Investment Area IV,,1896,https://www.kansasworks.com/search/warn_lookups/1896
Sprint,"Mar 20, 2018",333,WARN,,,3 - Workforce Investment Area III,,1898,https://www.kansasworks.com/search/warn_lookups/1898
MB Financial Bank,"Apr 25, 2018",63,WARN,,,3 - Workforce Investment Area III,,1899,https://www.kansasworks.com/search/warn_lookups/1899
Durham School Services,"Apr 25, 2018",97,WARN,,,2 - Workforce Investment Area II,,1900,https://www.kansasworks.com/search/warn_lookups/1900
Fleetcor,"Apr 17, 2018",30,Non-WARN,,,4 - Workforce Investment Area IV,,1901,https://www.kansasworks.com/search/warn_lookups/1901
Dean & Deluca,"May 10, 2018",51,WARN,,,3 - Workforce Investment Area III,,1902,https://www.kansasworks.com/search/warn_lookups/1902
"Premiere Global Services, Inc.","May 21, 2018",43,WARN,,,3 - Workforce Investment Area III,,1903,https://www.kansasworks.com/search/warn_lookups/1903
Sprint,"May 25, 2018",59,WARN,,,3 - Workforce Investment Area III,,1904,https://www.kansasworks.com/search/warn_lookups/1904
Toys R Us,"Mar 15, 2018",21,WARN,,,4 - Workforce Investment Area IV,,1905,https://www.kansasworks.com/search/warn_lookups/1905
"Pace Analytical Services, LLC","May 25, 2018",11,Non-WARN,,,1 - Workforce Investment Area I,,1906,https://www.kansasworks.com/search/warn_lookups/1906
Walmart,"Jul 09, 2018",88,WARN,,,4 - Workforce Investment Area IV,,1907,https://www.kansasworks.com/search/warn_lookups/1907
Pace Analytical Services,"May 25, 2018",14,Non-WARN,,,1 - Workforce Investment Area I,,1908,https://www.kansasworks.com/search/warn_lookups/1908
CSRA,"Aug 01, 2018",74,WARN,,,2 - Workforce Investment Area II,,1909,https://www.kansasworks.com/search/warn_lookups/1909
Bombardier Learjet,"Aug 03, 2018",46,Non-WARN,,,4 - Workforce Investment Area IV,,1910,https://www.kansasworks.com/search/warn_lookups/1910
Heroux-Devtek/APPH,"Jul 12, 2018",2,Non-WARN,,,4 - Workforce Investment Area IV,,1912,https://www.kansasworks.com/search/warn_lookups/1912
Kansa Technology,"Aug 13, 2018",13,Non-WARN,,,5 - Workforce Investment Area V,,1913,https://www.kansasworks.com/search/warn_lookups/1913
Holiday Resort,"Sep 11, 2018",3,Non-WARN,,,5 - Workforce Investment Area V,,1914,https://www.kansasworks.com/search/warn_lookups/1914
Anthem,"Oct 18, 2018",287,WARN,,,3 - Workforce Investment Area III,,1915,https://www.kansasworks.com/search/warn_lookups/1915
"Pacific Sunwear of California, LLC","Oct 23, 2018",121,WARN,,,3 - Workforce Investment Area III,,1916,https://www.kansasworks.com/search/warn_lookups/1916
"Mercy Health Kansas Communities, Inc., d/b/a Mercy","Oct 26, 2018",327,WARN,,,5 - Workforce Investment Area V,,1918,https://www.kansasworks.com/search/warn_lookups/1918
Tischlerei,"Nov 01, 2018",15,Non-WARN,,,1 - Workforce Investment Area I,,1919,https://www.kansasworks.com/search/warn_lookups/1919
"Hooper Holmes, Inc.","Nov 01, 2018",99,WARN,,,3 - Workforce Investment Area III,,1920,https://www.kansasworks.com/search/warn_lookups/1920
Brinks Home Security,"Nov 06, 2018",96,WARN,,,2 - Workforce Investment Area II,,1921,https://www.kansasworks.com/search/warn_lookups/1921
Formation Plastics,"Dec 03, 2018",32,Non-WARN,,,1 - Workforce Investment Area I,,1922,https://www.kansasworks.com/search/warn_lookups/1922
K-Mart,"Oct 15, 2018",50,Non-WARN,,,1 - Workforce Investment Area I,,1923,https://www.kansasworks.com/search/warn_lookups/1923
Midwest Pathology Consultants,"Dec 06, 2018",1,Non-WARN,,,5 - Workforce Investment Area V,,1924,https://www.kansasworks.com/search/warn_lookups/1924
Shopko Hometown,"Dec 03, 2018",13,Non-WARN,,,4 - Workforce Investment Area IV,,1928,https://www.kansasworks.com/search/warn_lookups/1928
Big Lots,"Dec 03, 2018",19,Non-WARN,,,4 - Workforce Investment Area IV,,1929,https://www.kansasworks.com/search/warn_lookups/1929
Sears Hometown,"Dec 07, 2018",5,Non-WARN,,,4 - Workforce Investment Area IV,,1969,https://www.kansasworks.com/search/warn_lookups/1969
Sears,"Dec 27, 2018",60,Non-WARN,,,4 - Workforce Investment Area IV,,1970,https://www.kansasworks.com/search/warn_lookups/1970
Pro-Bound Spports,"Jan 05, 2017",4,Non-WARN,,,1 - Workforce Investment Area I,,1839,https://www.kansasworks.com/search/warn_lookups/1839
Learjet,"Jan 23, 2017",42,Non-WARN,,,4 - Workforce Investment Area IV,,1840,https://www.kansasworks.com/search/warn_lookups/1840
Aero-Mach Labs,"Jan 25, 2017",10,Non-WARN,,,4 - Workforce Investment Area IV,,1841,https://www.kansasworks.com/search/warn_lookups/1841
K-Mart,"Jan 04, 2017",50,Non-WARN,,,4 - Workforce Investment Area IV,,1842,https://www.kansasworks.com/search/warn_lookups/1842
Wichita Eagle,"Jan 19, 2017",14,Non-WARN,,,4 - Workforce Investment Area IV,,1843,https://www.kansasworks.com/search/warn_lookups/1843
Sears,"Jan 06, 2017",40,Non-WARN,,,1 - Workforce Investment Area I,,1844,https://www.kansasworks.com/search/warn_lookups/1844
Philips Lighting,"Jan 31, 2017",30,Non-WARN,,,1 - Workforce Investment Area I,,1845,https://www.kansasworks.com/search/warn_lookups/1845
Via Christi Health,"Feb 10, 2017",32,WARN,,,4 - Workforce Investment Area IV,,1846,https://www.kansasworks.com/search/warn_lookups/1846
Red Guard,"Mar 14, 2017",25,Non-WARN,Halstead,67056,1 - Workforce Investment Area I,"920 W. 2nd; Halstead, Kansas 67056",1848,https://www.kansasworks.com/search/warn_lookups/1848
Vanity,"Mar 10, 2017",7,Non-WARN,,,1 - Workforce Investment Area I,,1849,https://www.kansasworks.com/search/warn_lookups/1849
Amazon,"Mar 29, 2017",139,WARN,,,3 - Workforce Investment Area III,,1850,https://www.kansasworks.com/search/warn_lookups/1850
Alorica,"Mar 02, 2017",50,Non-WARN,,,2 - Workforce Investment Area II,,1851,https://www.kansasworks.com/search/warn_lookups/1851
Alorica,"Mar 23, 2017",300,Non-WARN,,,2 - Workforce Investment Area II,,1852,https://www.kansasworks.com/search/warn_lookups/1852
Walser Automotive Group,"Apr 06, 2017",12,Non-WARN,,,4 - Workforce Investment Area IV,,1853,https://www.kansasworks.com/search/warn_lookups/1853
City of Wichita,"Mar 29, 2017",2,Non-WARN,,,4 - Workforce Investment Area IV,,1854,https://www.kansasworks.com/search/warn_lookups/1854
JC Penney,"Mar 17, 2017",10,Non-WARN,,,4 - Workforce Investment Area IV,,1855,https://www.kansasworks.com/search/warn_lookups/1855
"Sodexo, Inc.","May 01, 2017",151,WARN,,,4 - Workforce Investment Area IV,,1856,https://www.kansasworks.com/search/warn_lookups/1856
Scholfield Corporate,"Apr 25, 2017",4,Non-WARN,,,4 - Workforce Investment Area IV,,1857,https://www.kansasworks.com/search/warn_lookups/1857
Convergys,"May 02, 2017",25,Non-WARN,,,4 - Workforce Investment Area IV,,1858,https://www.kansasworks.com/search/warn_lookups/1858
JC Penny,"Apr 03, 2017",30,Non-WARN,,,1 - Workforce Investment Area I,,1859,https://www.kansasworks.com/search/warn_lookups/1859
JC Penny,"Mar 31, 2017",30,Non-WARN,,,1 - Workforce Investment Area I,,1860,https://www.kansasworks.com/search/warn_lookups/1860
Millard Lumber,"May 22, 2017",35,Non-WARN,,,5 - Workforce Investment Area V,,1861,https://www.kansasworks.com/search/warn_lookups/1861
DCCCA,"May 23, 2017",20,Non-WARN,Pittsburg,66762,5 - Workforce Investment Area V,"1102 South Rouse; Pittsburg, Kansas 66762",1862,https://www.kansasworks.com/search/warn_lookups/1862
Radio Shack,"Mar 30, 2017",2,Non-WARN,,,1 - Workforce Investment Area I,,1863,https://www.kansasworks.com/search/warn_lookups/1863
Via Christi,"May 19, 2017",50,Non-WARN,,,4 - Workforce Investment Area IV,,1864,https://www.kansasworks.com/search/warn_lookups/1864
Lee Aerospace,"Jun 01, 2017",16,Non-WARN,,,4 - Workforce Investment Area IV,,1865,https://www.kansasworks.com/search/warn_lookups/1865
Catholic Charities,"Jun 08, 2017",12,Non-WARN,,,4 - Workforce Investment Area IV,,1866,https://www.kansasworks.com/search/warn_lookups/1866
"General Motors, LLC","Jun 16, 2017",1053,WARN,,,3 - Workforce Investment Area III,,1867,https://www.kansasworks.com/search/warn_lookups/1867
Excel Industies Inc,"Jun 15, 2017",270,Non-WARN,,,1 - Workforce Investment Area I,,1868,https://www.kansasworks.com/search/warn_lookups/1868
Sears Holding,"Jun 22, 2017",57,WARN,,,3 - Workforce Investment Area III,,1869,https://www.kansasworks.com/search/warn_lookups/1869
Sears Holding,"Jun 22, 2017",13,WARN,,,3 - Workforce Investment Area III,,1870,https://www.kansasworks.com/search/warn_lookups/1870
GVL Poly,"Jun 23, 2017",45,Non-WARN,,,1 - Workforce Investment Area I,,1871,https://www.kansasworks.com/search/warn_lookups/1871
Cornerstones of Care,"Aug 17, 2017",60,WARN,,,3 - Workforce Investment Area III,,1872,https://www.kansasworks.com/search/warn_lookups/1872
Central Credit Services LLC,"Sep 01, 2017",86,WARN,Overland Park,66211,3 - Workforce Investment Area III,"4370 W 109th St, Ste 100; Overland Park, Kansas 66211",1873,https://www.kansasworks.com/search/warn_lookups/1873
Trego Manor,"Aug 16, 2017",22,Non-WARN,,,1 - Workforce Investment Area I,,1874,https://www.kansasworks.com/search/warn_lookups/1874
Daymon Worldwide,"Sep 11, 2017",36,Non-WARN,,,1 - Workforce Investment Area I,,1875,https://www.kansasworks.com/search/warn_lookups/1875
Siemens,"Sep 01, 2017",137,WARN,,,1 - Workforce Investment Area I,,1876,https://www.kansasworks.com/search/warn_lookups/1876
People's Inc.,"Sep 18, 2017",31,WARN,,,3 - Workforce Investment Area III,,1877,https://www.kansasworks.com/search/warn_lookups/1877
National Flood Services,"Jun 22, 2017",80,Non-WARN,,,3 - Workforce Investment Area III,,1878,https://www.kansasworks.com/search/warn_lookups/1878
Treadit Tire and Wheel,"Aug 01, 2017",15,Non-WARN,,,3 - Workforce Investment Area III,,1879,https://www.kansasworks.com/search/warn_lookups/1879
SKF USA Inc.,"Oct 24, 2017",170,WARN,,,2 - Workforce Investment Area II,,1880,https://www.kansasworks.com/search/warn_lookups/1880
Arconic,"Oct 25, 2017",3,Non-WARN,,,1 - Workforce Investment Area I,,1881,https://www.kansasworks.com/search/warn_lookups/1881
Golden Corral,"Nov 02, 2017",50,Non-WARN,,,1 - Workforce Investment Area I,,1882,https://www.kansasworks.com/search/warn_lookups/1882
Schofield Corporate,"Oct 26, 2017",3,Non-WARN,,,4 - Workforce Investment Area IV,,1883,https://www.kansasworks.com/search/warn_lookups/1883
Lee Aerospace,"Nov 06, 2017",25,Non-WARN,,,4 - Workforce Investment Area IV,,1884,https://www.kansasworks.com/search/warn_lookups/1884
Payless Shoesource,"Nov 16, 2017",170,WARN,,,2 - Workforce Investment Area II,,1885,https://www.kansasworks.com/search/warn_lookups/1885
"Digital Ally, Inc.","Nov 17, 2017",63,WARN,,,3 - Workforce Investment Area III,,1886,https://www.kansasworks.com/search/warn_lookups/1886
CHS Inc.,"Dec 01, 2017",78,WARN,,,1 - Workforce Investment Area I,,1887,https://www.kansasworks.com/search/warn_lookups/1887
AT&T,"Oct 02, 2017",66,WARN,,,4 - Workforce Investment Area IV,,1888,https://www.kansasworks.com/search/warn_lookups/1888
Dillard's,"Aug 28, 2017",40,Non-WARN,,,1 - Workforce Investment Area I,,1889,https://www.kansasworks.com/search/warn_lookups/1889
Kmart,"Jan 04, 2017",50,Non-WARN,,,4 - Workforce Investment Area IV,,1897,https://www.kansasworks.com/search/warn_lookups/1897
Freedom Road Truck Driving Academy,"Nov 08, 2017",3,Non-WARN,,,4 - Workforce Investment Area IV,,1911,https://www.kansasworks.com/search/warn_lookups/1911
Sprint,"Jan 22, 2016",829,WARN,,,3 - Workforce Investment Area III,,1780,https://www.kansasworks.com/search/warn_lookups/1780
Spirit AeroSystems,"Jan 11, 2016",66,Non-WARN,,,4 - Workforce Investment Area IV,,1771,https://www.kansasworks.com/search/warn_lookups/1771
PCC Aerostructures - Exacta Aerospace,"Jan 14, 2016",25,Non-WARN,,,4 - Workforce Investment Area IV,,1772,https://www.kansasworks.com/search/warn_lookups/1772
Smithfield Foods,"Jan 18, 2016",28,Non-WARN,,,4 - Workforce Investment Area IV,,1776,https://www.kansasworks.com/search/warn_lookups/1776
Walmart,"Jan 15, 2016",71,WARN,,,4 - Workforce Investment Area IV,,1777,https://www.kansasworks.com/search/warn_lookups/1777
Walmart,"Jan 15, 2016",70,WARN,,,4 - Workforce Investment Area IV,,1778,https://www.kansasworks.com/search/warn_lookups/1778
